CardNumber,Model,Series Name,Seating,Type,Brand,Color,Price,Displacement_Type,Fuel Type,Mileage_type,Transmission Type,Airbags,Entertainment,ABS,Center Locking,Child Locking,Steering Adjustment,Keyless Start,Cruise Control,Parking Sensors,Rating
CRD247,Renault KWID - 1.0 RXT AMT Opt,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Medium,Petrol,Medium,Automatic,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,7.2
CRD248,Renault KWID - 1.0 RXT Opt,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Medium,Petrol,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,9.1
CRD249,Renault KWID - CLIMBER 1.0,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Medium,Petrol,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,5.1
CRD250,Renault KWID - CLIMBER 1.0 AMT,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Medium,Petrol,Medium,Automatic,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,4.3
CRD251,Renault KWID - RXE,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Low,Petrol,High,Manual,0,No,No,No,Yes,No,No,No,No,3.6
CRD252,Renault KWID - RXL,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Low,Petrol,High,Manual,0,Basic,No,No,Yes,No,No,No,No,3.5
CRD253,Renault KWID - RXT,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Low,Petrol,High,Manual,0,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,8.9
CRD254,Renault KWID - RXT Opt,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Low,Petrol,High,Manual,1,Basic + Bluetooth,No,Remote,Yes,No,No,No,No,0.9
CRD255,Renault KWID - STD,Renault KWID,Up to 5,Hatchback,Renault,White,Entry,Low,Petrol,High,No,0,No,No,No,Yes,No,No,No,No,3
CRD256,Maruti Vitara Brezza - Ldi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Black,Mid-Range,Medium,Diesel,Medium,Manual,1,Basic + Bluetooth,No,Manual,No,Tilt,No,No,No,3.3
CRD257,Maruti Vitara Brezza - Ldi (O),Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Black,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Manual,No,Tilt,No,No,No,6.3
CRD258,Maruti Vitara Brezza - Vdi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Black,Mid-Range,Medium,Diesel,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,5.6
CRD259,Maruti Vitara Brezza - VD (O),Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Black,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,5.9
CRD260,Maruti Vitara Brezza - Zdi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Black,Premium,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,8
CRD261,Maruti Vitara Brezza - Zdi Plus,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Black,Premium,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,Yes,Rear,2.5
CRD262,Maruti Vitara Brezza - Zdi Plus Dual Tone,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Black,Premium,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,Yes,Rear,0.3
CRD263,Maruti Vitara Brezza - Ldi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Color,Mid-Range,Medium,Diesel,Medium,Manual,1,Basic + Bluetooth,No,Manual,No,Tilt,No,No,No,3.6
CRD264,Maruti Vitara Brezza - Ldi (O),Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Color,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Manual,No,Tilt,No,No,No,3.5
CRD265,Maruti Vitara Brezza - Vdi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Color,Mid-Range,Medium,Diesel,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,8.2
CRD266,Maruti Vitara Brezza - VD (O),Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Color,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,6.3
CRD267,Maruti Vitara Brezza - Zdi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Color,Premium,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,5.2
CRD268,Maruti Vitara Brezza - Zdi Plus,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Color,Premium,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,Yes,Rear,5.8
CRD269,Maruti Vitara Brezza - Zdi Plus Dual Tone,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,Color,Premium,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,Yes,Rear,2.7
CRD270,Maruti Vitara Brezza - Ldi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,White,Mid-Range,Medium,Diesel,Medium,Manual,1,Basic + Bluetooth,No,Manual,No,Tilt,No,No,No,5.2
CRD271,Maruti Vitara Brezza - Ldi (O),Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,White,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Manual,No,Tilt,No,No,No,9
CRD272,Maruti Vitara Brezza - Vdi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,White,Mid-Range,Medium,Diesel,Medium,Manual,1,Basic + Bluetooth,No,Remote,Yes,Tilt,No,No,Rear,2.1
CRD273,Maruti Vitara Brezza - VD (O),Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,White,Mid-Range,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,4.8
CRD274,Maruti Vitara Brezza - Zdi,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,White,Premium,Medium,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,Rear,2.8
CRD275,Maruti Vitara Brezza - Zdi Plus,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,White,Premium,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,Yes,Rear,0.4
CRD276,Maruti Vitara Brezza - Zdi Plus Dual Tone,Maruti Vitara Brezza,Up to 5,SUV/MUV,Suzuki,White,Premium,Medium,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,Yes,Rear,2.3
CRD277,Hyundai Creta - E 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Petrol,Low,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,7
CRD278,Hyundai Creta - E Plus 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,9.9
CRD279,Hyundai Creta - E Plus 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Petrol,Low,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,8.1
CRD280,Hyundai Creta - S 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,0.2
CRD281,Hyundai Creta - S Plus 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,5.9
CRD282,Hyundai Creta - S Plus 1.6 AT CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,3.9
CRD283,Hyundai Creta - SX 1.6 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,2.2
CRD284,Hyundai Creta - SX 1.6 CRDI (O),Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Low,Manual,6,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,0.5
CRD285,Hyundai Creta - SX Plus 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.6
CRD286,Hyundai Creta - SX Plus 1.6 AT CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Low,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6
CRD287,Hyundai Creta - SX Plus 1.6 AT Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Petrol,Low,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.1
CRD288,Hyundai Creta - SX Plus 1.6 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.2
CRD289,Hyundai Creta - SX Plus 1.6 CRDI Dual Tone,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,7.6
CRD290,Hyundai Creta - SX Plus 1.6 CRDI Spl Edition,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,7.5
CRD291,Hyundai Creta - SX Plus 1.6 Dual Tone Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Black,Premium,High,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,5.4
CRD292,Hyundai Creta - E 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Petrol,Low,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,4.8
CRD293,Hyundai Creta - E Plus 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,5.3
CRD294,Hyundai Creta - E Plus 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Petrol,Low,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,7.2
CRD295,Hyundai Creta - S 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,2.7
CRD296,Hyundai Creta - S Plus 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,9.5
CRD297,Hyundai Creta - S Plus 1.6 AT CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,8.1
CRD298,Hyundai Creta - SX 1.6 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,5.8
CRD299,Hyundai Creta - SX 1.6 CRDI (O),Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Low,Manual,6,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.8
CRD300,Hyundai Creta - SX Plus 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.3
CRD301,Hyundai Creta - SX Plus 1.6 AT CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Low,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,5
CRD302,Hyundai Creta - SX Plus 1.6 AT Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Petrol,Low,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,8.2
CRD303,Hyundai Creta - SX Plus 1.6 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,9.2
CRD304,Hyundai Creta - SX Plus 1.6 CRDI Dual Tone,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,3.2
CRD305,Hyundai Creta - SX Plus 1.6 CRDI Spl Edition,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,10
CRD306,Hyundai Creta - SX Plus 1.6 Dual Tone Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,Color,Premium,High,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,7.9
CRD307,Hyundai Creta - E 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Petrol,Low,Manual,2,No,Yes,Remote,Yes,Tilt,No,No,No,6
CRD308,Hyundai Creta - E Plus 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Medium,Manual,2,Basic,Yes,Remote,Yes,Tilt,No,No,No,3.8
CRD309,Hyundai Creta - E Plus 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Petrol,Low,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,7.6
CRD310,Hyundai Creta - S 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Medium,Manual,2,Basic + Bluetooth,Yes,Remote,Yes,Tilt,No,No,No,0.9
CRD311,Hyundai Creta - S Plus 1.4 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,1.5
CRD312,Hyundai Creta - S Plus 1.6 AT CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,4.2
CRD313,Hyundai Creta - SX 1.6 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,No,No,Rear,3.8
CRD314,Hyundai Creta - SX 1.6 CRDI (O),Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Low,Manual,6,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,1.6
CRD315,Hyundai Creta - SX Plus 1.6 Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,8.9
CRD316,Hyundai Creta - SX Plus 1.6 AT CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Low,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,5.1
CRD317,Hyundai Creta - SX Plus 1.6 AT Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Petrol,Low,Automatic,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,4.1
CRD318,Hyundai Creta - SX Plus 1.6 CRDI,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.2
CRD319,Hyundai Creta - SX Plus 1.6 CRDI Dual Tone,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.7
CRD320,Hyundai Creta - SX Plus 1.6 CRDI Spl Edition,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Diesel,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,6.8
CRD321,Hyundai Creta - SX Plus 1.6 Dual Tone Petrol,Hyundai Creta,Up to 5,SUV/MUV,Hyundai,White,Premium,High,Petrol,Low,Manual,2,Advanced,Yes,Remote,Yes,Tilt,Yes,No,Rear,3.1
